,content,rating,location
8867,"['First impressions matter - and being greeted at the ferry terminal by the bus taking us directly to the hotel in air conditioned comfort, then the extra friendly and helpful check-in reception made us feel very special. As a Starwood Guest I was first offered an alternative room with a better view, but on learning that my wife and I were staying for a couple of nights to celebrate our 30th wedding anniversary we were upgraded fully to a suite that provided us with luxury we could only dream of. The concierge tips on where to go and how to get there, and recommendations on where to dine met our needs exactly. We were treated like royalty each morning at the complimentary breakfast, with a selection of excellent food choices to make our mouths water. The rooftop pools provided an', '_']",50,"Christchurch, Canterbury, New Zealand1 contribution1 helpful vote"
4425,"[""I've been there beginning of April 2018, check in service is the worst. we have argue with them for more than 2 hours. When we booked online, they promote the grand opening package and early bird discount, but  when we arrived, they didn't honor it even we provide the confirmation print out. it is ridiculous. For the big hotel and company like that with this kind of mistake is unacceptable. If you are cheap to give out discount, don't even offer it. Yes you can delete it and pretend not happened however still need to accept your mistake. restaurant services are terrible, no one can speak English and Cantonese. What language can you speak? The hotel is big, but empty. It gives out a empty feel, not warm. When I went to others like Galaxy and Venetian and others are so much fun."", '_']",40,"Toronto, Canada3 contributions"
17170,"['It is such a fake replica of Venice that it becomes a place to see. you will find fake facades in venetian style, a replica of Ponte di Rialto and Campanule di San Marco, a small indoor channel with gondolas and fame painted sky, painted ceilings in Italian style a shopping mall and a huge big casino where hundreds of people are gambling and testing their fortune or losing unreasonable amount of money']",30,351 contributions95 helpful votes
11588,"[""It would be harsh not to award 5 stars as our star was very enjoyable and the service we received was, on the whole, excellent.  Room: we were given a free upgrade as I had issues with their CS hotline the day before and had to speak to a manager, the room is a standard sized with all of the mod cons and with free macaroons and a gift as well which was a nice touch. A deposit isn't needed if you don't intend to use the minibar, there's also a safe and an iron (almost hidden) in the wardrobe. The bed wasn't super-soft, although the pillows and duvet was, which resulted in a good night's sleep.  Breakfast: Our package included a buffet meal, and it was not so busy when we arrived at 7.30am although it was on a Friday morning. For a decent 5-star breakfast, I always look out for"", '_']",50,"Brighton, England146 contributions77 helpful votes"
19790,"[""The Venetian Macao Resort Hotel is such a huge hotel that it may be called a city literally. I stayed there in May-2013 with my family and was spellbound by it's sheer size.  It supposedly has 3000 rooms , all of which are suites.  The Hotel is so big that it would take one full day to visit every nook and corner of it . It houses the world's largest casino.                       A well spread veg./ non-veg. buffet breakfast was lavishly laid for all in the Cafe Deco.  Although the check- in was pretty delayed due to long queues nonetheless the beauty of the hotel compensated for it. The stay comes with a complimentary dose of breakfast, lunch, welcome drink, a group family photograph,a gondola ride etc. etc.  The hotel is very clean. The beds are cosy and luxurious.            "", '_']",50,"Agra, India487 contributions931 helpful votes"
4035,"['The Macau Grand Hyatt hits all the right notes and is an easy recommendation whether travelling to Macau for business or leisure.  The numerous facilities are world class from Gym to Business Centre, while the bedrooms provide a very high standard of comfort with a very modern take from the cool bathroom design to high tech TV systems.  I would like to make a special comment on the incredible staff.  Whenever you happened to need anything, you would turn around and a staff member would be at your shoulder to deal with the issue in the most friendly and efficient way.']",50,"London, United Kingdom89 contributions87 helpful votes"
11507,"['There were only 5 people handling the check in counters so it took a while. We were upgraded to the family room which was great because our kids loved the room!!  There was a bunk bed, small table with 2 bean chairs. And a small couch too. There is a magnetic wall with some magnets which again the kids really enjoyed. Strange thing was family room was on a smoking floor!! So every time we went out we could smell smoke which thankfully wasn\'t so overpowering. While the hotel is really grand with a great lobby and all the works it looks like Venetian part 2. Well it is the ""Parisian"" after all.  We found the bed was little harder than we would have liked. The pillows were great. The bathroom was good with a separate shower area. Had all the basic supplies. They had provided with', '_']",30,"Hong Kong, China21 contributions13 helpful votes"
10916,"['Based on French lifestyle theme and architecture this luxury hotel is really grand and have half sized structure of Eiffel tower as its main landmark. This hotel has thousands of hotel rooms, hundreds of luxury shops and pool tables. The place is open for public however there is a small fee to access Eiffel tower inside but it__ truly worth it. The view from top is breathtaking; I would definitely recommend this place to all.']",50,594 contributions19 helpful votes
7282,"['Took a family room which was effectively a suite...main bedroom + kids themed room with a bunk bed. Good size for a suite. Kids theme was great for the kids. Pool was ok, but needed to be more kids friendly rather than a series 5 or 6 pools. Primarily stayed here for the Shrekfast which was very good and excellent value for money (versus Disneyland hotel). The amount of characters and photo opportunities was high, and the food was also good. Shopping centre has good food court....and also convenient for Venetian.']",50,"Hong Kong, China67 contributions19 helpful votes"
18666,"['Really this is one whole package entertainment hotel, casino, shopping centre, restaurant, sport center, arcade. Really i dont need to go anywhere around, the room is very spacious, clean, very comfy, the staff is very fast and well trained. Room service is good, what a perfect hotel, cant wait to stay here again someday.']",50,"Bandung, Indonesia60 contributions34 helpful votes"
10870,"['During booking: Instantly, I regretted booking this hotel. I don__ know why, but I just got the feeling that something will go wrong. However, I told myself that I were thinking too much.  Check-in: It was smooth, staff named Rebecca was nice and I got a box of chocolate as a gift for my birthday. It was nice, but I were not impressed (as I stayed at another 5 star hotel the day before and the staff at that hotel arranged a fresh baked birthday cake for me).   During stay: The decor of the hotel, the room (got a free upgrade to the 29th floor), shopping mall, food corner and view were nice, but for me it wasn__ that impressive (as I have been to Paris and the real Eiffel Tower). So for me the whole stay at the Parisian was avarage.  Check-out: It was busy and the staff (forgot', '_']",20,"Capelle aan den IJssel, The Netherlands5 contributions1 helpful vote"
16249,"['Stayed for 2 nights at this hotel and I was impressed with the deco and facilities of the hotel.   Hotel is huge with 3000 rooms with casino and shopping malls.   Would recommend to do online fast checkin before arrival as you would be given priority in the line.   Checkin was attended by Ivy and she was really helpful and nice to offer us the free upgrade of room with high floor and nice view and late check out.    Had booked a Belle suite room and the room was huge and grand.  The bathroom was big with seperate room for toilet and bath and a dressing table.   Hotel is also within walking distance to the famous taipa village from the hotel west lobby and you can also take a bus outside the hotel to Senado Square.  Do check with the Concierge, look for Kiki, she is very helpful', '_']",40,"Singapore, Singapore40 contributions6 helpful votes"
12745,"['Sofitel Macau at Ponte 16 was one of my favourite Hotel in Macau. However, I was totally disappointed by the negligence casused by the staff. I checked in in the executive lounge as usually but my booking was not found and I was required to present my booking email to clarify my booking. After the reservation issue was fixed, I was told the room was ready but they would like to have a final inspection of my room to make sure everything was fine. It was the afternoon tea hour and I was invited to have a afternoon tea when I was waiting my room to be inspected. After 15 mins, I was presented my room key and I entered my room after I finished my afternoon tea. My room was fine except I found a document was left on the chair of my room. I was shocked that it was the name list of the', '_']",10,"Hong Kong, China40 contributions5 helpful votes"
19015,"[""i stayed in venetian when i went back to macau to watch the dancing waters again with my mother and niece. being a second timer of hotel, we were given the privilege check-out late and so, we did... what is more memorable about our stay is our chance meeting with my mother's idol : freddie roach who was staying on the same floor with the boxer zhou shimming...""]",50,"Seoul, South Korea43 contributions19 helpful votes"
20843,"[""We did stay 1 year ago this hotel. Macau so far from Turkey. But I saw this hotel at National Geographic channel and I did reservation hotel's internet site. Hotel person did welcome from boat terminal and gone to shuttle bus. Room is bigger than normal hotel room, clean and luxury, bathroom look like gold plated. But first day been starved, because we didn't find money change office in hotel, finally we did change at reception and happy and...""]",50,"Istanbul, Turkey169 contributions73 helpful votes"
12684,"['My wife and I had 3 nights stay. Externally the property looked not as glamor as other Sofitel, had been old and not properly maintained. First impression was not so nice as it was so busy that you had to be in a standing que for check in, the lobby looked too small as all the seats were occupied, my first experience with Sofitel that you have to que like this. But once you got the room, it started giving you amazing experience, it was glamorous, the room was spacious, beautiful view of the city, it was a pity that the external side of the glass window so dusty. It was located at the old city, so the sidewalk around the hotel were narrow and uncomfortable, but the positive point was easy to find restaurants. Hotel provide shuttle to Macau Ferry Terminal every 30 minutes.', '_']",40,"Tangerang, Indonesia492 contributions224 helpful votes"
7482,"['I stayed in this hotel for 1 night, had the good impression when checking in. This hotel offers a very excellent facility start from we arrive in Macao by providing shuttle bus from ferry terminal. The location is also convenient to reach and nearby other hotels that offers attractive performances. Breakfast was excellent! The staff were also kind and caring and monitoring from the first time I booked the room. Sheraton Cotai Macao is indeed a hotel I strongly recommend to stay whether only 1 night or 1 week.']",50,"Jakarta, Jakarta Raya, Indonesia2 contributions1 helpful vote"
20410,"['Upon arrival to Macau Ferry Terminal , take the very frequent free shuttle bus (5-10mins) to Venetian Macau , check in is so efficient at East Lobby, good map and directions given , family and I reached our room .   The room is spacious! Room34-070 (Bella Suite) , facing the main street of Cotai Strip.    Pros:  Spacious room , 2 queen double bed + 1 sofa bed. Study table, 2 TV , 1 dining table, 5 chairs!  Spacious bathroom! Very very spacious Good quality bedlinen  In room dining is wonderful!  A vase with fresh flower makes my day! Delicious and fresh food Free A4 photo , a sorvenir from Venetian to guests  Quiet  Sun shines into my room ,  greats me every morning !   Cons:  Huge resort! Be prepared to walk a bit  Food in the resort is quite pricy , advise to have meals in', '_']",50,"Singapore, Singapore350 contributions52 helpful votes"
6593,"['Room was very clean, spacious, extremely comfy bed and bedding sets. Bathtub was a bit too small and narrow but nice still. The fake La Tour Eiffel was right next to the Sands area, an interesting new selling point of Macau. Pool to public was just ok, too small, pity that the large pool at 8th floor was only open to private party. Would choose to stay in this hotel again.']",50,"Hong Kong, China16 contributions3 helpful votes"
4749,"['Stayed here for one night on 31 May - 1 June 2019. Hotel is crowded so there is no upgrade to my room which is acceptable. Service of the lady at the front desk is good. The room is a pretty standard 4 Star hotel room. We checked out around 2 pm on 1 June 2019. Instead of the usual check out point, they asked me to check out using the self checkout on the LCD screen. Did everything correctly but till 5 June have not receive my night credit. This resulted me in missing out ""Double Take: Earn double points"" promo. When i called them on 4 June 2019, they told me they have posted the points already...']",20,"Jakarta, Indonesia122 contributions12 helpful votes"
20286,"['Nice hotel overall good experiance . Booke by our travel agent AMATRATRAVEL & LEISURE PVT LTD . All services were upto the mark and transfers were before time  . WE DIDNT HAD ANY PROBLEM . Keep up the good work .I find it as a complete hotel. The rooms are suites, big bed with a sofa beda, 2 big televisions. Big bathroom is partitioned into separate bath tub, shower enclosure, dresser and toilet. Many restaurants from fine dining to food court, shops and of course the big casino.']",50,"New Delhi, India37 contributions30 helpful votes"
18208,"[""Dated room - at least the basic suites. Things falling off, cracks, broken things, didn't feel like a clean room at all. Also had a bit of a stench. Overall experience was that of a mass scale hotel with 0 five star services - except for an occasional smiling staff. Staff was average - the front desk person put us into the worst possible room in spite of asking for a better view. The breakfast was the worst I have seen in a 5-star. Felt like a shop floor of factory workers queuing up and the staff and everyone around all over the place to pick up food. Some of the food (e.g. cheeses) were stale. Its a beautifully made hotel - pity they don't know how to maintain this property and more importantly give the guests a five star experience in spite of the scale of operations.  You"", '_']",10,"New York City, New York4 contributions9 helpful votes"
10551,"['I have stayed in several 5-star hotels in Macau and so far JW Marriott is the best one! They have responsive caring staffs, amazing facilities and spacious clean elegant room with an awesome resort view.  I went to Urban Kitchen for breakfast, there was a long queue when I arrived but I only waited for 10 min to be seated. Their breakfast buffet is amazing! You get a wide selections of traditional Asian and western breakfast. I have to say out of all hotels in Macau this is the best breakfast place!  The location of the hotel is only 10 min walk to the old Taipa village where there are many local goodies and restaurants.  Overall I love this hotel and will for sure be back very soon. I highly recommend this hotel to everyone, it is super convenient for families traveling with', '_']",50,"Hong Kong, China5 contributions"
4957,['At feast buffet we enjoyed great meals at good mood. Also Ronald&Jetco was so kind and helpful. Because of them we could enjoy the time at feast.I recommend you to visit feast at sheraton hotel~~~!!!!!'],50,1 contribution
21198,"[""Very accessible & well connected to the Ferry Terminals & Sands Casino with the free shuttle service available at frequent intervals. The west lobby tends to be crowded with tour groups at certain times most probably due to the fact that it's near to the bus terminal. The suite was big & comfortable with nice onobstructed view.""]",40,1 contribution
11906,"['We are frequent return guests to the Sofitel Macau and consider it one of the best hotels that we have the pleasure to stay in.  Check in is always quick and efficient and the welcome from the Executive Lounge team always courteous and warm.  Rooms are spacious, spotlessly clean and very comfortable.  The benefits of the Club Lounge are second to none - all day refreshments and an excellent cocktails and canapÃ©s session for two hours every evening.  Actually the snacks on offer are very substantial!  We generally always take advantage of an evening meal in Mistral - the buffet is great value and very extensive (particularly with Accor Plus membership).  Thank you to JJ and Maria for making our evening so delightful.  Breakfast in the Club Lounge each morning is thoroughly', '_']",50,"Hong Kong, China129 contributions60 helpful votes"
19713,"['I was appalled by the sheer size of the hotel entrance and staricase leading to the hotel.very close to the airpot,is this beautiful place which was the venue of the IIFA(Bollywood awards). the food court was just amazing.I actually ate Indian food out there. relaxing atmosphere with a false sky canopy overhead,the place was just  magical. Yes They have Recreated the Naples and the Venice there.the rooms are also named after the important cities of Rome. I am still in a state of awe. the photograph is that of me admiring the ceiling of the dome.It has all beautiful pics painted on the ceiling. must spend days and days to really  visit each and every part of the  HOTEL VENETION at Macau.the casinos are to die for.tatally a different ambience and the greatest gambling joints in', '_']",50,"Mumbai, India342 contributions76 helpful votes"
14741,"[""We booked 2 non-smoking rooms from a Hong Thai Tour. The cost of each room was about $1,200 Macau dollars. We requested for non-smoking rooms and one room was full of smoke smell. It seems that tourists from China do not care about the non-smoking rules. This is so shameful.  Our room was good. No smoke smell and very clean. From our room, we can see the river (the water is kind of dirty though). (I have to thank the gentleman at the reception desk since he gave us a room with a river view when I asked for it.)  Generally speaking, the hotel rooms we got are quite huge. The beds are quite comfortable too! I also like the washroom. I really like the Colgate toothpaste that they put in the washroom along with toothbrushes. I also like the L'Occitane bathroom amenities.  Basically,"", '_']",30,"Ottawa, Canada90 contributions180 helpful votes"
6143,['Pros: Hotel is wonderful.Rooms are convenient and breakfast is lavish. The location is perfect . Cons: Front Desk staff  Their attitude is completely unacceptable. They are unable to communicate properly in english . I asked them for their manager and the staff bluntly replies that the manager sits behind in the back office without lifting his head. Their policy of 5000 HKD as deposit is from the 17th century . There is however a better way of enforcing this than allow their untrained front desk staff communicate. Somebody needs to drive the fact to their front desk staff that hospitality is all about being pleasant and warm especially when we arrive after a long humid day. Never would i visit this hotel again nor recommend it to anybody'],10,"Chennai (Madras), India47 contributions16 helpful votes"
3181,['very good experience by Hyatt Macau. Sarah and Max help a lot during my stay in Macau. Explaining the room and the city. Staff are helpful and friendly. Will come here next time visit Macau.  excellent job Grand Hyatt Macau'],50,"Jakarta, Indonesia1 contribution"
8125,"['2nd time back to Sheraton Macau. Miss Amy Wu from Front Office have arrange the booking for my friend and I. Very nice hotel with a link bridge to the Venetian.We got a Deluxe room with Cotai view. From the room, we can have a clear view of the cotai and and the swimming pool. The bed and pillow are so comfortable that we over slept and miss our breakfast. The bathroom room is well equipped with the amenities (eg.bath lily)  Thank you Amy for the great arrangement.  Will recommend Sheraton Macau to friends and will be back again.']",50,"Singapore, Singapore17 contributions16 helpful votes"
6894,"[""It's extremely convenient to reach the hotel from Taipa ferry pier with the hotel's own shuttle (as is the case with most casinos in Macau). What put me off immediately after arriving at the hotel was a very smelly lobby and the long queues for check-in. The smell was artificially added and very strong (I am not even allergic). Luckily we found out that the rooms themselves did not have such added odours.   Staff at the reception is well-trained and take care of every little detail. In such a huge establishment they do not have the time to give a second thought to individual needs, however.  We stayed three adults in one room and got a comfortable extra bed in no time after arrival. Room service is very courteous and polite. We originally thought a couple could fit into a"", '_']",30,"Hong Kong, China75 contributions12 helpful votes"
11044,"['This is our first trip to the Parisian Macao, and the second trip to Macau as a mother-daugther duo.  Being a fairly new hotel resort, the premises are new and the interior is very grand.  There are various nice spots inside and outside the premises to take pictures.  The room is comfortable, and I will recommend the room with the view of the Eiffel Tower, as the night view will be nice.  Express Check In Service is also recommended to save check in time.  Getting to the hotel is not an issue as free shuttle buses are offered between airport and hotel every 15-20 min.  Casino is spacious with high ceilings, so my mother felt comfortable staying longer time with her slot machines, even though the casino can be crowded.  The premises are comfortable as the crowd flow is not', '_']",50,"æ¸_°·_, _±äº¬_37 contributions13 helpful votes"
11056,"['Fast Efficient for a big hotel and the equipment used are top class.  Love the huge TV and thank you for complementary tickets to the Eiffel tower.  Make sure if you visit this place in Jan or Feb please have wind proof jacket as the wind are very strong and chilly. Breakfast is good with a huge choice. If you visit cotai from macau peninsula, please take note, groceries items here in cotai is 4x higher, i.e mineral water is at MOP4.5 in old part of macau and in cotai is at MOP12 to MOP15. Shopping is good but need to walk and walk to find the bargains.']",50,"Kuching, Malaysia68 contributions39 helpful votes"
20992,"['During september we stayed at the venetian for 2 days, its grand and amazing hotel, huge escalators, halls and shopping will dazzle you for the first time  the shopping has all the best brands of the planet and the resort is made into town form inside so all the decor is inspired from the town of Venice in Italy it also has a artificial river with gondola rides which will make you feel romantic and high the food court is excellent with plenty of vegetarian options the rooms are spacious with queen beds and bathrooms are king sized and spectacular casino is one of the biggest in macau the theatre hosts the show circque de soleiel one of the most prestigious shows we never went out of the Venetian its was full of surprises and it was totally worth it !!!!']",50,chennai21 contributions11 helpful votes
14963,"['Was a last minute recommendation and booking...but an experience to last a lifetime!  The entire Studio City Team was amazing...nothing was overlooked and the small surprises in room were really special (from chocolate monopoly to personalized items!).  The team helped with creating a truly memorable experience with restaurant and show bookings, as well as some of the highest quality hotel services we have experienced!  Thank you!']",50,"Shanghai, China1 contribution"
16613,"['The buses to the ferry are not clearly marked. Caused me to miss my Ferry. There are actually 2 different ferry terminals and was not explained properly by the staff. When I went back to see if I can get my prepaid ferry ticket redeemed for another time slot, they were very unhelpful and refused. Customer service is very bad. Different lobbies and concierge gives you different answers']",10,"Marrakech, Morocco1 contribution4 helpful votes"
13084,"[""It may located far from The Venetian but the hotel has it own nice surroundings. It close by to the city hall, the Senado Square, where there are lots of shophouses including McDonalds, Watson, L'occitane (also has their own cafe) and Kei Koi (famous Macau's food souvenir store). If you go further up, you have reach the Ruin of St. Paul, the one side wall church that is very famous in Macau. However, around the hotel there is not much restaurants to choose from. Despite it classical exterior look, the room is modern with touch of dark wood color.""]",40,Indonesia209 contributions21 helpful votes
4991,"['Shuttle service is also convenient and breakfast and dinner are delicious~ Above all, the staff are friendly and make the most of the guests requests. I will stay again when I next travel to Macau~~^^']",50,3 contributions
3326,"['I trust Hyatt brand and being and Hyatt member, I always tried to book on line directly via Hotel site in order to gain special welcome. We were warmly welcome by Hotel staff and the whole stay was seamless.']",50,"Hong Kong, China17 contributions1 helpful vote"
4066,"[""we stayed here for 2 nights and it's not bad at all.. the room, the lobby, the atmosphere.. just fantastic.  we arrived here directly from the airport via the bus shuttle and checking in was fast.  we really liked macau because you can walk around and visit all the casinos and what they have to offer in terms of food and shopping.. then you can take a free bus shuttle to the city and enjoy the town, traditional foods, and stores. anyways, MGM cotai rooms were clean and refreshing. it had a beautiful washroom with rain fall shower and toothbrush and so many towels.. slippers, robes, and a free mini fridge that is stocked daily. ""]",50,29 contributions13 helpful votes
2051,"['One of the only hotels in Macao that does not lay claim to having a casino.   Has a great ambiance as you walk through the doors, fantastic service, guest rooms luxuriously appointed, walkway to casino or Venetian property .  The Titantic Exhibition and the Human Bodies Exhibition was on so saw both.   Titantic was awesome , one of the best exhibitions I have seen.   Quick visit to the old part of Macao where the Portugese settled.  Fabulous facades to buildings, totally different feel altogether.   Believe it is only a quick trip across the border into China where you can spend the day shopping with familiar brands at a fraction of the cost you would pay elsewhere.  Also some gorgeous day spas to settle into for part of your day.  Easily accessed by fast cat from Hong Kong ;', '_']",50,"Sydney, Australia12 contributions6 helpful votes"
1691,"['My wife and I spent two nights here during our trip to Hong Kong. We had reserved well in advance and were contacted by Nicole, the Guest Relations Manager, about a week prior to arrival. Nicole gave us some advice on the best travel options from Hong Kong to Macau. As she suggested, we took the Cotai Water Jet and arrived at the Taipa ferry terminal and easily found the bus to the hotel, which is part of the Sands Cotai Central development. The hotel complex is new, about two years old. At check-in, we were met by Kajana, another Guest Relations Manager who told us about all of the Diamond member benefits at the Conrad. We were upgraded to a wonderful suite. Kajana escorted us to the room and gave us the tour (it was big enough to need a tour!). Our room had an excellent view', '_']",50,"Williamsburg, Virginia31 contributions18 helpful votes"
20602,"['Nice place, good courteous staff. Huge casinos. Shopping mall on 3rd floor with the entire look of Venice, you can even take the Gondola ride there. Nice food court, though restaurants serving Indian cuisine shuts early. Very fast check-in and check-out process and you get shuttle service to and from the Ferry Terminal. Overall a very nice experience. Plus we were on our honeymoon and were really delighted to get a heart shaped chocolate box (made of chocolates) and filled with chocolates and a perosnalized card. A very good gesture.']",50,"Mumbai, India15 contributions6 helpful votes"
14211,"[""Enjoyed our 2 nights at the Sofitel. Very well located for exploring the old City Centre and the various World Heritage sights. Room was large and very comfortable with a well equipped bathroom and nice L'Occitaine en Provence toiletries. Breakfast buffet was very good with Chinese and International options and a freshly cooked station for eggs, omelettes and Chinese dishes. Room service was good as well. The outdoor swimming pool was rather beautiful and provided a very tranquil retreat from the hustle and bustle of the City.  There is room for improvement in the regularity of the Shuttle bus service to the Outer ferry port but it did not spoil our stay.""]",40,"Harrow, United Kingdom2,685 contributions249 helpful votes"
5293,"['we booked on july 21 for a night to celebrate our birthday with friends, and upon check in FO staff Erika approach us with warm welcome and smile that makes our day and assists us on our checking in...and were surprise that she manage some arrangements in our room that makes our bday memorable!....very friendly staffs, nice rooms ana amenities and highly recommend FO satff Erika to look fir her smwhen guys wanna stay in Sheraton Macao!...']",50,"Siem Reap, Cambodia6 contributions"
10273,"[""We come here for the wave pool!! This hotel is the one nearest to the wave pool ! And the outdoor swimming pool of jW Marriott itself is cool too ! It allows us to get to use the facilities before the official check in time , which we can fully utilize the limited time we stay in Macau .  The room is big , clean and new. We stayed in Galaxy hotel last year which we found Marriott is more tasteful . What's more , each room allows three adults to use the pool or two adults plus two children , it seems more flexible ! ""]",50,"Hong Kong, China360 contributions96 helpful votes"
20865,"[""hi  we stay 2 nights at hotel  hotel have nice room, vary big with nice view & nice interior  bathroom with shower & bath tub & separate toilet area  we spend 2 full day in hotel we don't need to go out side as hotel have lot to do""]",40,"Mumbai, India3 contributions2 helpful votes"
18718,"['I went for my sister\'s birthday and this hotel was over my expectation. The room was massive and there is a ""living room"" semi-separated with the sleeping area"". There are printers in each room (i.e. the floor we were staying) and the decoration was second to none. Inside the hotel, there is a massive shopping place, which is decorated like in Venice, with a canal built between shops. You can take a ""cruise"" in this canal with additional cost.  Transportation wise, there are free buses from the ferry terminals (both of them) to the hotel. It\'s not far to walk to the ""Souvenir Street"". It\'s also in walking distance to go to watch the famous Musical ""The House of Dancing Water"". This is fully recommended as well!']",40,"Bremen, Germany22 contributions17 helpful votes"
3494,"['We were redeeming hotel loyalty points and with the aim of touring Taipa (the big name casino resorts and local Portuguese restaurants) and watching ""Thriller Live"" (playing for a limited duration at the Parisian nearby). As such there was no time to try or comment on the general facilities (gym, pool and breakfast). Anyways, here it goes:  Likes: - Excellent service (from the doormen greeting you with a smile as you come out of the taxi to the general security staff to the check-in team). - The location (in the City of Dreams area, opposite the new Wynn Palace, and walkable to the attractions at the Venetian and Parisian but also away from the circus frenzy of day trippers and tourists). Given this was a 48 hour weekend trip from HK, we wanted to avoid staying at the hustle and', '_']",50,"Hong Kong, China688 contributions190 helpful votes"
3807,"['Wonderful stay at the Grand Hyatt Macau.  Very helpful staff - great English spoken, beautiful hotel, modern, great breakfasts at Mezza9.  Part of the City of Dreams, so makes shopping and connection to the other properties easy.  Only down side would be the construction across the street for the next couple of years...but that is most places right now in Macau - and the scenery outside your hotel room is not why most are in Macau :)  All in all - great experience.']",50,Canada6 contributions1 helpful vote
9168,['I have been stayed there 2 months ago..the hotel is average... the facilities seems not new even they just opening not longtime... But it is very rediculous that I havent get my accommodation deposit back yet since 2 month... they keep telling me just 5days..5days...and that is not their fault for this problem... i have to say the service is suck!!! how they treat their guest?  or they dont do breifing for work?'],20,Chengdu1 contribution
11045,"['Beautiful lobby and checkin areas, gianormous shopping mall, friendly staff and beautiful decor. Good size room and good attention to detail. However, for a hotel or this scale and price level, there is no bar or live jazz.  Not even a lobby bar.']",40,"East Sussex, United Kingdom274 contributions22 helpful votes"
13533,"[""We had a wonderful stay here at sofitel in Macao.  Ramil made sure that we had everything we needed and more. Food was superb.  perfect getaway from the Asian business world. we'll definitely come back!""]",50,"Helsinki, Finland1 contribution"
5338,"['At the check in , we were greeted by Harrison Zheng , who was polite , efficient , full of smiles and had a nice chat  with us . What a great attitude ____ We decided to go for the in house buffet at Feast as there was a 20 percent discount if we book it during check in. I must say this is one of the best international buffet we have eaten . There is so much variety , seafood is fresh and the additional charge for free flow drinks was well worth the price . The waiteress Diana Reyes Abriam  and waiter Amiel Mamaclay top up the evening with their  great service and smiles .  Delicious ! Well done Sheraton  ! ']",50,"Singapore, Singapore57 contributions15 helpful votes"
21445,"['This hotel opened less than a month.  Regarding the size, it is bigger than the one in Las Vegas.  My wife and I check-in this hotel on Friday, and it takes two hours to get our room.  Room is really big, but the room view is no good, it__ not worth to take any photo.  All I saw is the construction sites everywhere.  Maybe there__ a lot of people from the Zhuhai, Mainland China, it is very crowded, you need to wait for half an hour for taxi.  We have our dinner in Bamboo restaurant, which is OK.  Casino is bigger than the others in Macau.  If you plan to visit Macau recently, stay in another hotels.  The Venetian need at least half year to solve all its problems. ']",20,Hong Kong199 contributions69 helpful votes
5284,"['The hotel is integrated with the shopping mall and others hotel,the place is so big and you can literally live with out going out of the hotel. The check in and out are really strict with the time but can be done fast,check out can be done just by return the card to the express check out box.the rooms are big and complete,they also lend you a smartphone with internet.to bad I cannot try the swimming pool since the weather is not good at that time,i think for my next visit to Macau I might stay in this hotel again']",50,malang110 contributions33 helpful votes
8399,"['Great hotel, everything is excellent! Always my choice! Their staffs are extremely helpful & provide service without asking. Food always good, no doubt to stay Sheraton in the future macau visit. Room condition always is well & clean to make my stay great']",50,2 contributions4 helpful votes
5331,"['Room was very nice, and met all my needs very well. Front desk & staff were helpful and friendly, Excellent service, i can always request room service and cleaning service even after midnight. Location is really perfect for tourist. easy access transportation. My Family really love the place. Perfect for family relaxation. We will definitely highly recommend this place to our friends and will come back soon in the future. We really appreciate the excellent service we experienced that we received for the following Sheraton Personnel : 1. Jossie - Booking 2. Jetrix - Check-in 3. Erika - Preparation of room  Thank you very much and will see you soon!!!']",50,"Guam, Mariana Islands1 contribution"
4630,"['Great experience, staffs here are so kindnese, specially the Guest service ambassador Karena Jian provides excellent customer service. Great experience I would come here again. Thanks Sheraton Grand..']",50,1 contribution
10369,"[""This is a true 5 star hotel, room was quiet and clean with a great view, there's an espresso machine and a bluetooth speaker in room, and a huge flatscreen TV!  Free WiFi, and great breakfast!   Hotel is connected a big mall with shops, cafes, and restaurants in it, very convenient.""]",50,"Taipei, Taiwan1,048 contributions70 helpful votes"
5465,"['Come for an international meeting for 1000 participant. The hotel is Cotai area , where the new pier is located. A very convenient ride from Hong Kong. I booked a pick up Limo With the hotel.  This is very convenient as the receptionist  came to the pier and took me directly to my room( updraded to a suite at 35 floor ). The room is hugh , separate living and bed room , two bathroom .  Modern , clean . The hotel has 4000 rooms with casinos and only short coming is not many good restaurents.  You need to go to the mall or other hotels close by .  The outdoor pool looks nice and big. , too cold to swim . The convention area is big. , they can hold convention for 10000 easily. Our 1000 attentee did not make the place look busy.  This is not a fancy place , but good for this purpose']",40,"Pittsburgh, Pennsylvania821 contributions262 helpful votes"
7340,"[""I have just returned from a weekend break in Macau at the Sheraton and can not recommend it highly enough.  We had been told by friends about the excellent kid's programmes at the hotel and wanted to try them out for our 4 year old.    The first impression I got when we arrived was how vast the hotel complex is - all the promotional literature proclaims this to be the largest Sheraton hotel in the world.  But it is also the first of the Macau casino complexes that I have visited that had the more Vegas feel of an entertainment venue as opposed to just a casino or luxury shopping mall.  Our room was great - a two bedroom family suite which had a well designed and comfortable main room for the adults, as well as a brilliantly designed kids room.  Ours was all decked out in Kung Fu"", '_']",50,"Hong Kong, China67 contributions67 helpful votes"
